,formula,bandgap,effective_mass_n,effective_mass_p,ave_ele_diele,ave_ion_diele,formation_energy
87,Ba3NbGa3(SiO7)2,6.0077,13.272267606161995,30.909784459751663,3.6614353333333334,9.543601333333333,-3.0256117888043477
88,Ba3Sn2O7,3.8296,1.175160490148221,9.10767478055974,4.496518666666667,13.585708000000002,-2.668890004166667
89,Ba3SrNb2O9,5.6721,6.780830860019648,27.017578478513048,4.194918,14.93182,-3.263764343777778
90,Ba3SrTa2O9,6.374499999999999,4.701378394731149,35.05288731316808,4.015783,15.141895666666665,-3.4058772964444453
91,Ba3ZnSb2O9,4.5222,1.0211814544360462,6.104904339859383,4.327248999999999,16.063092666666666,-2.4919275890000008
92,Ba3Ta2ZnO9,5.148,2.7642895463620194,5.663852086301437,4.848023666666667,27.156473000000002,-3.217345349666666
93,Ba3V2O8,5.8594,6.9945051672645775,10.830300778072377,4.012073,33.728301333333334,-3.018910831538462
94,Ba3Zr2O7,5.1017,74.84400772422819,8.187966648692193,4.683128,34.610259666666664,-3.519514509583333
95,Ba4AgAuO6,3.152,4.124409362879067,3.001312934624004,5.568563666666667,10.956746,-2.1976280747222225
96,Ba4Li(SbO4)3,3.7193,1.1314790285996306,6.519018235785875,4.490492,19.946475,-2.5572898346666664
97,Ba4InSbO8,4.5916,1.0982553128142012,7.406473343221423,4.3239633333333325,16.082019,-2.680420198571428
98,Ba4Bi2O,0.7961,1.2861570059419933,3.8437721969196446,13.851508333333333,18.676660666666667,-1.518548810714286
99,Ba4Na(SbO4)3,3.8484,1.0782094759173315,6.187850680173355,4.38317,18.615432,-2.540505563827586
100,Ba4Nb2O9,5.739999999999999,3.058768129030791,13.89092988892282,4.107764333333334,13.316742333333332,-3.2234492940000017
101,Ba4Nb2WO12,4.1983999999999995,6.108540569341301,15.747036643050672,5.173746,62.083114333333334,-3.1034044789473683
102,Ba4PtO6,3.6014999999999997,6.438537504240448,4.512811001532686,5.078925666666667,12.646858,-2.4677279295454553
103,Ba4PdO6,3.0115000000000003,9.435174508964478,4.6024582191083905,5.415530666666666,13.212098333333335,-2.4218386845454543
104,Ba4ScReWO12,3.3274,88.65507526284492,22.53356272810253,5.212385333333333,26.766411,-2.994836770526316
105,Ba5Nb4O15,4.1289,22.009080087914956,13.563951411572813,5.234791333333333,54.364768000000005,-3.2715557902083336
106,Ba5Ta4O15,4.627599999999999,29.45672567019933,23.75261156821746,4.819144333333333,29.538658333333334,-3.440743283125
107,BaBAsO5,6.9623,1.5080279426765175,75.94918383444688,3.1624103333333333,5.873728,-2.627202876979167
